WAFER ID,LOT ID,Cassette,SLOT,STATUS,DATA TYPE,RECIPE,RCP CNT,MEAS SET,MATERIAL,SITE,Site #,Value,Value, X , Y 
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,1,1,1031.7538,0.9912,0,0
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,2,2,1024.1547,0.9911,-0.0001,49
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,3,3,1024.0422,0.9911,-34.6483,34.648
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,4,4,1026.8903,0.9911,-49,-0.0001
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,5,5,1031.8638,0.9912,-34.648,-34.6483
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,6,6,1035.1871,0.9911,0.0001,-49
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,7,7,1033.9945,0.9912,34.6483,-34.648
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,8,8,1029.897,0.9911,49,0.0001
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,9,9,1026.4713,0.9911,34.648,34.6483
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,10,10,1014.8355,0.9911,-0.0003,98
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,11,11,1014.78,0.991,-37.5034,90.5401
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,12,12,1014.8502,0.9911,-69.2967,69.2962
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,13,13,1015.5876,0.9911,-90.5404,37.5026
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,14,14,1016.4869,0.991,-98,-0.0004
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,15,15,1020.1522,0.991,-90.5401,-37.5034
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,16,16,1025.5217,0.9911,-69.2962,-69.2967
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,17,17,1029.2604,0.9909,-37.5026,-90.5404
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,18,18,1031.0504,0.9911,0.0004,-98
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,19,19,1030.7135,0.9912,37.5034,-90.5401
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,20,20,1028.1238,0.9912,69.2968,-69.2962
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,21,21,1023.13,0.991,90.5404,-37.5026
7/12/2018 10:40,EAP00016_OXP,Port 1,1,,SE,MMSINGLE_OX_1000A_49PTTHK_V01,1,Film Stack,Thermal SiO2,22,22,1019.8729,0.991,98,0.0004
