Collection Date Time,EQP ID,WAFER ID,LOT ID,Cassette,SLOT,STATUS,DATA TYPE,RECIPE,RCP CNT,MEAS SET,MATERIAL,SITE,Site #,X,Y,Value1
2018/08/24 10:11:45,MT-TFR-01,DC00041.00.01,DC00041.01,EAP00267,1,,,MMSINGLE_SIN_49PTRI_V01,,,,0,1,-96767.9986953735,96796.8034744263,11.29127
2018/08/24 10:11:45,MT-TFR-01,DC00041.00.01,DC00041.01,EAP00267,1,,,MMSINGLE_SIN_49PTRI_V01,,,,0,2,0,91152.0023345947,10.95492
2018/08/24 10:11:45,MT-TFR-01,DC00041.00.01,DC00041.01,EAP00267,1,,,MMSINGLE_SIN_49PTRI_V01,,,,0,3,96767.9986953735,96767.9986953735,11.26514
2018/08/24 10:11:45,MT-TFR-01,DC00041.00.01,DC00041.01,EAP00267,1,,,MMSINGLE_SIN_49PTRI_V01,,,,0,4,32256.000995636,32256.000995636,11.04954
2018/08/24 10:11:45,MT-TFR-01,DC00041.00.01,DC00041.01,EAP00267,1,,,MMSINGLE_SIN_49PTRI_V01,,,,0,5,-32256.000995636,32256.000995636,11.01863
2018/08/24 10:11:45,MT-TFR-01,DC00041.00.01,DC00041.01,EAP00267,1,,,MMSINGLE_SIN_49PTRI_V01,,,,0,6,-91152.0023345947,0,11.03188
2018/08/24 10:11:45,MT-TFR-01,DC00041.00.01,DC00041.01,EAP00267,1,,,MMSINGLE_SIN_49PTRI_V01,,,,0,7,0,0,11.0692
2018/08/24 10:11:45,MT-TFR-01,DC00041.00.01,DC00041.01,EAP00267,1,,,MMSINGLE_SIN_49PTRI_V01,,,,0,8,91152.0023345947,0,10.96323
2018/08/24 10:11:45,MT-TFR-01,DC00041.00.01,DC00041.01,EAP00267,1,,,MMSINGLE_SIN_49PTRI_V01,,,,0,9,32256.000995636,-32256.000995636,10.97326
2018/08/24 10:11:45,MT-TFR-01,DC00041.00.01,DC00041.01,EAP00267,1,,,MMSINGLE_SIN_49PTRI_V01,,,,0,10,-32256.000995636,-32256.000995636,11.02294
2018/08/24 10:11:45,MT-TFR-01,DC00041.00.01,DC00041.01,EAP00267,1,,,MMSINGLE_SIN_49PTRI_V01,,,,0,11,-96767.9986953735,-96767.9986953735,11.5731
2018/08/24 10:11:45,MT-TFR-01,DC00041.00.01,DC00041.01,EAP00267,1,,,MMSINGLE_SIN_49PTRI_V01,,,,0,12,0,-91152.0023345947,10.95424
2018/08/24 10:11:45,MT-TFR-01,DC00041.00.01,DC00041.01,EAP00267,1,,,MMSINGLE_SIN_49PTRI_V01,,,,0,13,96767.9986953735,-96767.9986953735,11.32464
2018/08/24 10:13:01,MT-TFR-01,DC00041.00.02,DC00041.01,EAP00267,2,,,MMSINGLE_SIN_49PTRI_V01,,,,0,1,-96767.9986953735,96796.8034744263,11.61709
2018/08/24 10:13:01,MT-TFR-01,DC00041.00.02,DC00041.01,EAP00267,2,,,MMSINGLE_SIN_49PTRI_V01,,,,0,2,0,91152.0023345947,11.1024
2018/08/24 10:13:01,MT-TFR-01,DC00041.00.02,DC00041.01,EAP00267,2,,,MMSINGLE_SIN_49PTRI_V01,,,,0,3,96767.9986953735,96767.9986953735,11.4349
2018/08/24 10:13:01,MT-TFR-01,DC00041.00.02,DC00041.01,EAP00267,2,,,MMSINGLE_SIN_49PTRI_V01,,,,0,4,32256.000995636,32256.000995636,11.22414
2018/08/24 10:13:01,MT-TFR-01,DC00041.00.02,DC00041.01,EAP00267,2,,,MMSINGLE_SIN_49PTRI_V01,,,,0,5,-32256.000995636,32256.000995636,11.44358
2018/08/24 10:13:01,MT-TFR-01,DC00041.00.02,DC00041.01,EAP00267,2,,,MMSINGLE_SIN_49PTRI_V01,,,,0,6,-91152.0023345947,0,11.7803
2018/08/24 10:13:01,MT-TFR-01,DC00041.00.02,DC00041.01,EAP00267,2,,,MMSINGLE_SIN_49PTRI_V01,,,,0,7,0,0,11.75208
2018/08/24 10:13:01,MT-TFR-01,DC00041.00.02,DC00041.01,EAP00267,2,,,MMSINGLE_SIN_49PTRI_V01,,,,0,8,91152.0023345947,0,11.04534
2018/08/24 10:13:01,MT-TFR-01,DC00041.00.02,DC00041.01,EAP00267,2,,,MMSINGLE_SIN_49PTRI_V01,,,,0,9,32256.000995636,-32256.000995636,11.30091
2018/08/24 10:13:01,MT-TFR-01,DC00041.00.02,DC00041.01,EAP00267,2,,,MMSINGLE_SIN_49PTRI_V01,,,,0,10,-32256.000995636,-32256.000995636,12.22392
2018/08/24 10:13:01,MT-TFR-01,DC00041.00.02,DC00041.01,EAP00267,2,,,MMSINGLE_SIN_49PTRI_V01,,,,0,11,-96767.9986953735,-96767.9986953735,12.78974
2018/08/24 10:13:01,MT-TFR-01,DC00041.00.02,DC00041.01,EAP00267,2,,,MMSINGLE_SIN_49PTRI_V01,,,,0,12,0,-91152.0023345947,11.54655
2018/08/24 10:13:01,MT-TFR-01,DC00041.00.02,DC00041.01,EAP00267,2,,,MMSINGLE_SIN_49PTRI_V01,,,,0,13,96767.9986953735,-96767.9986953735,11.53152
