#"DataSource","FormatVersion","Lot","SourceLot","Fab","Technology","Product","LotType","Owner","MeasRoute","MeasRouteVer","MeasStep","MeasStepVer","MeasItem","MeasTime","MeasOperator","MeasEquipment","MeasRecipe","ProcRoute","ProcRouteVer","ProcStep","ProcStepVer","ProcTime","ProcOperator","ProcEquipment","ProcRecipe","ProcReticle","LimitsInside","CollectedType","MeasureDataCount","WaferSiteArray","MeasureDataArray","Target","ValidLow","ValidHigh","SpecLow","SpecHigh","CtrlLow","CtrlHigh","Unit","ProcStepDesc","BatchID","DuplicateFlag","TextVal","SiteCoordArray","WaferPos","String_Option1","String_Option2","String_Option3","String_Option4","String_Option5"
"INL_RAW","1.1","TEST_AE00010.00","TEST_AE00010.00","FABTEST","NPW","FNNPWMMTPDBAREPD.00","Equipment Monitor","0252","FNNPWMMTPDBAREPD",".00","0.0010","","PD","2018/6/27 14:46:52","TCS","MT-TPD-01","M.MMTPD_SIZE_V01.00","FNNPWMMTPDBAREPD",".00","0.0010","","2018/6/27 14:46:52","TCS","MT-TPD-01","M.MMTPD_SIZE_V01.00","","Y","W","2","01000200","42;49","100","","","0","0","0","0","","","","N","","","","","","","",""
"INL_RAW","1.1","TEST_AE00010.00","TEST_AE00010.00","FABTEST","NPW","FNNPWMMTPDBAREPD.00","Equipment Monitor","0252","FNNPWMMTPDBAREPD",".00","0.0020","","PD","2018/6/27 14:55:47","TCS","MT-TPD-01","M.MMTPD_SIZE_V01.00","FNNPWMMTPDBAREPD",".00","0.0020","","2018/6/27 14:55:47","TCS","MT-TPD-01","M.MMTPD_SIZE_V01.00","","Y","W","2","01000200","40;51","100","","","0","0","0","0","","","","N","","","","","","","",""
"INL_RAW","1.1","TEST_AE00010.00","TEST_","FABTEST","","","","","FNNPWMMTPDBAREPD",".00","0.0030","","ADD","2018/6/27 15:42:17","","","","FNNPWMMTPDBAREPD",".00","","","","","","","","Y","W","1","  00","0","0","","","0","10","0","7","","","","N","","","","","","","",""
"INL_RAW","1.1","TEST_AE00010.00","TEST_AE00010.00","FABTEST","NPW","FNNPWMMTPDBAREPD.00","Equipment Monitor","0252","FNNPWMMTPDBAREPD",".00","0.0030","","PD","2018/6/27 15:42:17","TCS","MT-TPD-01","M.MMTPD_SIZE_V01.00","FNNPWMMTPDBAREPD",".00","0.0020","","2018/6/27 14:55:47","TCS","MT-TPD-01","M.MMTPD_SIZE_V01.00","","Y","W","2","01000200","42;48","100","","","0","0","0","0","","","","N","","","","","","","",""
"INL_RAW","1.1","TEST_AE00010.00","TEST_AE00010.00","FABTEST","NPW","FNNPWMMTPDBAREPD.00","Equipment Monitor","0252","FNNPWMMTPDBAREPD",".00","0.0010","","PD","2018/6/28 16:19:23","TCS","MT-TPD-01","M.MMBARE_012UM_V01.00","FNNPWMMTPDBAREPD",".00","0.0010","","2018/6/28 16:19:23","TCS","MT-TPD-01","M.MMBARE_012UM_V01.00","","Y","W","2","01000200","20;12","100","","","0","0","0","0","","","","N","","","","","","","",""
"INL_RAW","1.1","TEST_AE00010.00","TEST_AE00010.00","FABTEST","NPW","FNNPWMMTPDBAREPD.00","Equipment Monitor","0252","FNNPWMMTPDBAREPD",".00","0.0020","","PD","2018/6/28 16:25:10","TCS","MT-TPD-01","M.MMTPD_SIZE_V01.00","FNNPWMMTPDBAREPD",".00","0.0020","","2018/6/28 16:25:10","TCS","MT-TPD-01","M.MMTPD_SIZE_V01.00","","Y","W","2","01000200","42;47","100","","","0","0","0","0","","","","N","","","","","","","",""
"INL_RAW","1.1","TEST_AE00024.00","TEST_AE00024.00","FABTEST","NPW","FNNPWMMTPDSIZECK.00","Equipment Monitor","0230","FNNPWMMTPDSIZECK",".00","0.0010","","SIZE2","2018/6/29 11:19:33","TCS","MT-TPD-01","M.MMTPD_SIZE_V01.00","FNNPWMMTPDSIZECK",".00","0.0010","","2018/6/29 11:19:33","TCS","MT-TPD-01","M.MMTPD_SIZE_V01.00","","Y","W","2","01000200","0.105272075;0.10328536","0.125","","","0","0","0","0","","","","N","","","","","","","",""
"INL_RAW","1.1","TEST_AE00024.00","TEST_AE00024.00","FABTEST","NPW","FNNPWMMTPDSIZECK.00","Equipment Monitor","0230","FNNPWMMTPDSIZECK",".00","0.0010","","SIZE1","2018/6/29 11:19:33","TCS","MT-TPD-01","M.MMTPD_SIZE_V01.00","FNNPWMMTPDSIZECK",".00","0.0010","","2018/6/29 11:19:33","TCS","MT-TPD-01","M.MMTPD_SIZE_V01.00","","Y","W","2","01000200","1.6668435579;0.126303208","0.125","","","0","0","0","0","","","","N","","","","","","","",""
"INL_RAW","1.1","TEST_AE00008.04","TEST_AE00008.00","FABTEST","NPW","FNNPWMMTPDSIZECK.00","Equipment Monitor","0131","FNNPWMMTPDSIZECK",".00","0.0010","","SIZE2","2018/7/5 10:55:46","TCS","MT-TPD-01","M.MMTPD_SIZE_V01.00","FNNPWMMTPDSIZECK",".00","0.0010","","2018/7/5 10:55:46","TCS","MT-TPD-01","M.MMTPD_SIZE_V01.00","","Y","W","1","2500","0.12564381","0.125","","","0","0","0","0","","","","N","","","","","","","",""
"INL_RAW","1.1","TEST_AE00008.04","TEST_AE00008.00","FABTEST","NPW","FNNPWMMTPDSIZECK.00","Equipment Monitor","0131","FNNPWMMTPDSIZECK",".00","0.0010","","SIZE1","2018/7/5 10:55:46","TCS","MT-TPD-01","M.MMTPD_SIZE_V01.00","FNNPWMMTPDSIZECK",".00","0.0010","","2018/7/5 10:55:46","TCS","MT-TPD-01","M.MMTPD_SIZE_V01.00","","Y","W","1","2500","0.125835151","0.125","","","0","0","0","0","","","","N","","","","","","","",""
