2018-08-29 09:59:04: -- Analysis Started by On File Change, After Delay
2018-08-29 09:59:10: Changes: 3,119, Conflicts: 0, CopyTime: 0, FixState: 0, Errors: 0, All: 7381
2018-08-29 09:59:10: Left to Right: Copy File: 3119 
2018-08-29 09:59:10: == Sync Started by On File Change, After Delay
2018-08-29 09:59:10: Copy Over 'D:/repository/.git/COMMIT_EDITMSG' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/COMMIT_EDITMSG' (9)
2018-08-29 09:59:10: Copy Over 'D:/repository/.git/FETCH_HEAD' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/FETCH_HEAD' (0)
2018-08-29 09:59:10: Copy Over 'D:/repository/.git/index' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/index' (516,091)
2018-08-29 09:59:10: Copy Over 'D:/repository/.git/logs/HEAD' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/logs/HEAD' (313)
2018-08-29 09:59:10: Copy Over 'D:/repository/.git/logs/refs/heads/master' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/logs/refs/heads/master' (313)
2018-08-29 09:59:10: Copy Over 'D:/repository/.git/objects/00/2027f19e4f06a8e0d7c39955c5b36ab9254de3' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/00/2027f19e4f06a8e0d7c39955c5b36ab9254de3' (1,508)
2018-08-29 09:59:10: Copy Over 'D:/repository/.git/objects/00/4111338670c379e7f3abde261b3d7dd2f2f1cd' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/00/4111338670c379e7f3abde261b3d7dd2f2f1cd' (336)
2018-08-29 09:59:10: Copy Over 'D:/repository/.git/objects/00/53c1677896b915fa941b3c0e27428237a2618e' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/00/53c1677896b915fa941b3c0e27428237a2618e' (344)
2018-08-29 09:59:10: Copy New 'D:/repository/.git/objects/00/5eabd4aaa13b1da45ae23fe4567b0cb04271a6' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/00/5eabd4aaa13b1da45ae23fe4567b0cb04271a6' (54)
2018-08-29 09:59:10: Copy Over 'D:/repository/.git/objects/00/7fd6959412661e60a9557fbe37d384cabd94fa' -> '//10.8.0.252/it信息/个人目录/曹晋/bak/.git/objects/00/7fd6959412661e60a9557fbe37d384cabd94fa' (340)
